visit_datetime,rolling_avg_wait_time,rolling_avg_satisfaction,rolling_left_without_being_seen_rate,rolling_avg_nurse_patient_ratio,anomaly_count
2024-01-01T23:14:25.000000,125.5,2.3,0.0,3.2,2
2024-01-02T02:04:21.000000,116.27,2.45,0.0,3.09,1
2024-01-02T04:52:15.000000,112.83,2.5,0.0,3.17,0
2024-01-02T05:26:51.000000,120.08,2.38,0.0,3.23,2
2024-01-02T06:05:38.000000,114.71,2.5,0.0,3.21,0
2024-01-02T08:10:28.000000,115.6,2.4,0.0,3.27,1
2024-01-02T12:41:32.000000,109.69,2.56,0.0,3.12,0
2024-01-02T13:35:30.000000,104.94,2.65,0.0,3.06,0
2024-01-02T14:31:55.000000,101.0,2.72,0.0,3.06,0
2024-01-02T15:01:54.000000,101.89,2.63,0.0,3.11,0
2024-01-02T16:35:52.000000,98.1,2.7,0.0,3.05,0
2024-01-02T19:12:09.000000,94.76,2.76,0.0,3.05,0
2024-01-02T20:39:06.000000,91.82,2.82,0.0,3.0,0
2024-01-02T20:48:46.000000,88.26,2.91,0.0,2.91,1
2024-01-02T21:49:01.000000,85.96,2.96,0.0,2.83,1
2024-01-02T22:18:23.000000,92.48,2.88,0.04,2.88,1
2024-01-02T22:40:47.000000,93.65,2.81,0.04,2.92,1
2024-01-03T04:31:36.000000,90.63,2.89,0.04,2.85,1
2024-01-03T05:37:54.000000,87.86,2.93,0.04,2.79,1
2024-01-03T06:16:15.000000,85.66,2.97,0.03,2.72,1
2024-01-03T07:20:29.000000,88.07,2.9,0.03,2.77,1
2024-01-03T07:30:52.000000,88.61,2.87,0.03,2.81,1
2024-01-03T11:09:56.000000,88.34,2.84,0.03,2.81,1
2024-01-03T14:33:45.000000,86.33,2.91,0.03,2.79,1
2024-01-03T17:37:53.000000,91.5,2.85,0.03,2.85,1
2024-01-03T18:05:53.000000,93.97,2.8,0.03,2.91,1
2024-01-03T19:28:11.000000,92.75,2.81,0.03,2.92,1
2024-01-03T19:45:31.000000,92.59,2.81,0.03,2.92,1
2024-01-03T20:34:19.000000,90.89,2.84,0.03,2.87,1
2024-01-03T22:41:19.000000,92.85,2.79,0.03,2.92,1
2024-01-04T01:08:24.000000,94.08,2.75,0.02,2.98,1
2024-01-04T01:56:09.000000,99.88,2.71,0.02,3.0,0
2024-01-04T04:11:36.000000,98.36,2.71,0.02,3.02,0
2024-01-04T06:39:45.000000,96.79,2.74,0.02,2.98,1
2024-01-04T12:03:15.000000,98.91,2.7,0.05,3.02,0
2024-01-04T14:45:11.000000,102.33,2.67,0.04,3.07,0
2024-01-04T15:44:58.000000,101.85,2.67,0.04,3.09,0
2024-01-04T19:52:57.000000,101.02,2.68,0.04,3.09,0
2024-01-04T20:00:57.000000,99.52,2.71,0.04,3.04,0
2024-01-04T20:59:08.000000,97.96,2.73,0.04,3.02,0
2024-01-05T01:08:14.000000,97.42,2.74,0.04,3.04,0
2024-01-05T08:19:26.000000,98.44,2.74,0.04,3.08,0
2024-01-05T09:29:27.000000,103.36,2.68,0.04,3.14,0
2024-01-05T10:40:16.000000,105.08,2.68,0.04,3.16,0
2024-01-05T11:53:09.000000,99.0,2.74,0.04,3.16,0
2024-01-05T13:17:08.000000,99.94,2.7,0.04,3.16,0
2024-01-05T13:39:38.000000,99.24,2.7,0.04,3.18,0
2024-01-05T13:51:31.000000,100.72,2.66,0.06,3.16,0
2024-01-05T14:13:35.000000,101.1,2.64,0.06,3.18,0
2024-01-05T15:31:07.000000,101.16,2.62,0.06,3.22,0
2024-01-05T22:01:24.000000,96.58,2.7,0.06,3.14,0
2024-01-05T22:39:02.000000,97.2,2.68,0.06,3.16,0
2024-01-06T00:12:09.000000,96.66,2.68,0.06,3.16,0
2024-01-06T02:26:24.000000,93.84,2.72,0.06,3.16,0
2024-01-06T04:32:45.000000,94.12,2.7,0.06,3.18,0
2024-01-06T05:49:26.000000,92.18,2.76,0.06,3.12,0
2024-01-06T08:56:59.000000,92.4,2.74,0.06,3.18,0
2024-01-06T10:11:20.000000,93.02,2.72,0.06,3.2,0
2024-01-06T14:20:38.000000,95.3,2.66,0.06,3.22,0
2024-01-06T14:58:33.000000,93.64,2.7,0.06,3.2,0
2024-01-06T16:53:08.000000,94.3,2.68,0.06,3.22,0
2024-01-06T17:10:26.000000,94.9,2.66,0.06,3.22,0
2024-01-06T18:19:58.000000,95.7,2.64,0.06,3.26,0
2024-01-06T18:36:20.000000,97.1,2.58,0.06,3.3,0
2024-01-06T22:49:26.000000,97.22,2.58,0.06,3.36,0
2024-01-06T23:59:34.000000,92.84,2.64,0.04,3.32,0
2024-01-07T06:54:15.000000,91.08,2.7,0.04,3.3,0
2024-01-07T08:09:47.000000,91.48,2.68,0.04,3.36,0
2024-01-07T08:43:08.000000,94.12,2.62,0.06,3.44,0
2024-01-07T08:44:21.000000,97.8,2.56,0.06,3.52,0
2024-01-07T09:26:21.000000,94.94,2.64,0.06,3.46,0
2024-01-07T09:50:31.000000,93.4,2.68,0.06,3.44,0
2024-01-07T11:43:33.000000,96.54,2.66,0.06,3.48,0
2024-01-07T14:41:16.000000,98.7,2.58,0.06,3.52,0
2024-01-07T14:46:27.000000,97.34,2.58,0.06,3.52,0
